"","GEOID","elevation"
"912","1866978",980.97
"913","1839852",711.94
"914","1981120",921.92
"915","1942285",892.39
"916","2233210",104.99
"917","2735198",1643.7
"918","2929152",590.55
"919","3108780",1765.09
"920","3585160",6099.08
"921","3857220",1968.5
"922","3803020",875.98
"923","3958002",813.65
"924","4026900",2611.55
"925","4170850",2791.99
"926","4264584",518.37
"927","4602260",1538.71
"928","4879036",2647.64
"929","5036625",636.48
"930","5379975",718.5
"931","0882460",3946.85
"932","1671110",5990.81
"933","1754586",521.65
"934","1902395",1007.22
"935","1971355",869.42
"936","2162370",469.16
"937","2848800",114.83
"938","3644424",1276.25
"939","3861780",1709.32
"940","3811700",1610.89
"941","3947558",1135.17
"942","4610220",1417.32
"943","0683542",308.4
"944","1756627",711.94
"945","1736074",620.08
"946","1712476",590.55
"947","1712528",606.96
"948","4000250",679.13
"949","2652080",620.08
"950","3439390",9.84
"951","0129560",301.84
"952","3949756",675.85
"953","4068600",728.35
"954","0129608",1135.17
"955","0109016",301.84
"956","5413525",882.55
"957","0201420",26.25
"958","0275160",249.34
"959","0485400",1095.8
"960","0509550",308.4
"961","0506040",278.87
"962","0537660",400.26
"963","0502380",341.21
"964","0677574",820.21
"965","0824950",5134.51
"966","0867830",7598.43
"967","0865740",7742.78
"968","1279225",111.55
"969","1230525",85.3
"970","1208600",157.48
"971","1308480",1981.63
"972","1322472",314.96
"973","1379416",357.61
"974","1311056",836.61
"975","1649240",6056.43
"976","1766703",761.15
"977","1715378",675.85
"978","1704806",442.91
"979","1701140",751.31
"980","1744576",636.48
"981","1729431",574.15
"982","1779683",711.94
"983","1715209",666.01
"984","1845864",836.61
"985","1813780",518.37
"986","1864998",751.31
"987","1848240",561.02
"988","1864422",997.38
"989","1955065",1200.79
"990","1904780",1076.12
"991","1974370",1118.77
"992","1976440",1469.82
"993","1963840",1190.94
"994","1969015",1200.79
"995","1922080",1085.96
"996","1976755",1171.26
"997","1943500",1364.83
"998","2025050",2007.87
"999","2057100",1571.52
"1000","2037125",1338.58
"1001","2024550",1771.65
"1002","2112160",849.74
"1003","2154228",649.61
"1004","2128918",682.41
"1005","2137108",1345.14
"1006","2181372",508.53
"1007","2270245",65.62
"1008","2245460",291.99
"1009","2424200",45.93
"1010","2660660",636.48
"1011","2666140",866.14
"1012","2650880",1128.61
"1013","2768008",1085.96
"1014","2732372",1220.47
"1015","2701864",1010.5
"1016","2735738",935.04
"1017","2804540",459.32
"1018","2851360",416.67
"1019","2813580",364.17
"1020","2867640",219.82
"1021","2963200",954.72
"1022","2900802",800.52
"1023","2957404",1049.87
"1024","2978406",807.09
"1025","2956612",544.62
"1026","2947900",695.54
"1027","2933742",889.11
"1028","3040000",4599.74
"1029","0845695",4350.39
"1030","3140360",1856.96
"1031","3111860",1784.78
"1032","3103810",1751.97
"1033","3132585",1545.28
"1034","3142250",1351.71
"1035","3401330",754.59
"1036","3428650",108.27
"1037","3533850",5711.94
"1038","3620896",620.08
"1039","3668847",1125.33
"1040","3644853",620.08
"1041","3618135",1233.6
"1042","3620082",964.57
"1043","3724900",141.08
"1044","3714460",721.78
"1045","3738040",866.14
"1046","3763780",748.03
"1047","3812260",1814.3
"1048","3980892",908.79
"1049","3832660",1509.19
"1050","3867780",1614.17
"1051","3977924",925.2
"1052","3937604",1036.75
"1053","3945934",941.6
"1054","3974748",839.9
"1055","3980500",954.72
"1056","4050050",597.11
"1057","4038000",1243.44
"1058","4006450",833.33
"1059","4041300",1269.69
"1060","4004750",2447.51
"1061","4040700",1272.97
"1062","4027850",1584.65
"1063","4047000",2073.49
"1064","4100350",1564.96
"1065","4120900",1515.75
"1066","4131750",278.87
"1067","4261000",879.27
"1068","4247480",1259.84
"1069","4261168",892.39
"1070","4263288",882.55
"1071","4257184",830.05
"1072","4287224",1453.41
"1073","4271976",1338.58
"1074","4254024",1056.43
"1075","4535890",360.89
"1076","4506490",288.71
"1077","4524100",104.99
"1078","4542820",580.71
"1079","4646500",3369.42
"1080","4627980",1289.37
"1081","4608700",2165.35
"1082","4750320",1332.02
"1083","4726160",479
"1084","4708960",446.19
"1085","4804000",649.61
"1086","4837924",987.53
"1087","4864184",1145.01
"1088","4879684",675.85
"1089","4859012",2588.58
"1090","4814404",524.93
"1091","4811536",459.32
"1092","4821928",3713.91
"1093","4871732",354.33
"1094","5011425",734.91
"1095","5061675",538.06
"1096","5056800",492.13
"1097","5176880",104.99
"1098","5109016",360.89
"1099","5577925",702.1
"1100","5519325",1092.52
"1101","5561325",1102.36
"1102","5586450",1190.94
"1103","5638960",5170.6
"1104","1253500",26.25
"1105","1369896",580.71
"1106","1738674",357.61
"1107","1756978",580.71
"1108","1719200",695.54
"1109","1877912",564.3
"1110","2016625",1564.96
"1111","1917760",1259.84
"1112","1982065",1302.49
"1113","2016675",2063.65
"1114","2681960",882.55
"1115","2771500",941.6
"1116","2705698",1322.18
"1117","2954200",449.48
"1118","2970414",1220.47
"1119","3129645",1663.39
"1120","3108220",1801.18
"1121","3675506",1007.22
"1122","3843580",1952.1
"1123","4110950",3517.06
"1124","4200628",958.01
"1125","4270304",1715.88
"1126","4647460",1581.36
"1127","4552585",190.29
"1128","5518575",1079.4
"1129","5666075",7260.5
"1130","5604885",6902.89
"1131","0106460",387.14
"1132","1348092",649.61
"1133","1809226",856.3
"1134","1950430",1295.93
"1135","2210705",324.8
"1136","3120785",1751.97
"1137","2917056",882.55
"1138","3419360",42.65
"1139","4250632",708.66
"1140","4801396",127.95
"1141","0645400",124.67
"1142","1727624",761.15
"1143","1935265",1197.51
"1144","4000200",1000.66
"1145","0203000",1187.66
"1146","0114104",538.06
"1147","0126992",78.74
"1148","0112040",488.85
"1149","0128696",561.02
"1150","3109095",1630.58
"1151","3682359",278.87
"1152","3956910",623.36
"1153","4225416",669.29
"1154","4708540",1686.35
"1155","5473468",439.63
"1156","0128768",154.2
"1157","0112160",301.84
"1158","0221810",108.27
"1159","0256680",22.97
"1160","0530880",216.54
"1161","0570430",219.82
"1162","0510600",141.08
"1163","0574000",219.82
"1164","0803950",4963.91
"1165","0815550",6427.17
"1166","0866895",6797.9
"1167","1036760",52.49
"1168","1271900",26.25
"1169","1237775",160.76
"1170","1203725",164.04
"1171","1363728",216.54
"1172","1383084",898.95
"1173","1357540",157.48
"1174","1628810",4553.81
"1175","1660580",6056.43
"1176","1719499",534.78
"1177","1766599",452.76
"1178","1727858",393.7
"1179","1732408",538.06
"1180","1704897",761.15
"1181","1721410",636.48
"1182","1764811",515.09
"1183","1864206",387.14
"1184","1867302",961.29
"1185","1810000",816.93
"1186","1867626",784.12
"1187","1872440",495.41
"1188","1979770",711.94
"1189","1946290",1187.66
"1190","1962760",1315.62
"1191","1974505",810.37
"1192","1915195",1010.5
"1193","1960690",767.72
"1194","1979140",1043.31
"1195","2017000",1354.99
"1196","2035375",2555.77
"1197","2000100",1673.23
"1198","2001575",1450.13
"1199","2141338",1000.66
"1200","2138670",541.34
"1201","2117956",921.92
"1202","2248400",88.58
"1203","2235100",196.85
"1204","2267880",226.38
"1205","2480600",6.56
"1206","2640680",636.48
"1207","2660740",679.13
