"","PlaceNum","Rank","AirportNum","TravelTime"
"547",183,"V1",162,131.943333333333
"548",183,"V2",44,120.468333333333
"549",183,"V3",190,240.681666666667
"550",184,"V1",45,77.185
"551",184,"V2",148,199.21
"552",184,"V3",91,159.196666666667
"553",185,"V1",46,77.8516666666667
"554",185,"V2",148,237.758333333333
"555",185,"V3",126,188.423333333333
"556",186,"V1",165,216.901666666667
"557",186,"V2",49,100.715
"558",186,"V3",45,53.4933333333333
"559",187,"V1",165,162.495
"560",187,"V2",49,82.65
"561",187,"V3",45,21.9883333333333
"562",188,"V1",164,177.566666666667
"563",188,"V2",161,250.798333333333
"564",188,"V3",163,54.4966666666667
"565",189,"V1",129,108.81
"566",189,"V2",42,113.113333333333
"567",189,"V3",62,79.9266666666667
"568",190,"V1",190,296.483333333333
"569",190,"V2",162,161.991666666667
"570",190,"V3",161,147.443333333333
"571",191,"V1",71,132.661666666667
"572",191,"V2",73,134.288333333333
"573",191,"V3",72,129.783333333333
"574",192,"V1",89,57.5733333333333
"575",192,"V2",112,66.6783333333333
"576",192,"V3",149,98.5483333333333
"577",193,"V1",10,58.97
"578",193,"V2",15,28.9566666666667
"579",193,"V3",7,43.72
"580",194,"V1",7,20.45
"581",194,"V2",15,48.655
"582",194,"V3",8,30.62
"583",195,"V1",34,29.9916666666667
"584",195,"V2",35,28.07
"585",195,"V3",127,91.5566666666667
"586",196,"V1",147,166.946666666667
"587",196,"V2",209,99.2533333333333
"588",196,"V3",121,158.803333333333
"589",197,"V1",43,33.2766666666667
"590",197,"V2",142,72.3583333333333
"591",197,"V3",143,74.5433333333333
"592",198,"V1",174,108.79
"593",198,"V2",170,102.568333333333
"594",198,"V3",55,69.235
"595",199,"V1",143,46.495
"596",199,"V2",43,83.8966666666667
"597",199,"V3",142,37.7233333333333
"598",200,"V1",145,165.731666666667
"599",200,"V2",208,27.9016666666667
"600",200,"V3",144,393.751666666667
"601",201,"V1",88,90.7816666666667
"602",201,"V2",2,17.6466666666667
"603",201,"V3",192,129.828333333333
"604",202,"V1",146,150.245
"605",202,"V2",44,22.335
"606",202,"V3",210,252.255
"607",203,"V1",2,101.748333333333
"608",203,"V2",88,139.605
"609",203,"V3",69,139.785
"610",204,"V1",169,24.015
"611",204,"V2",170,55.955
"612",204,"V3",185,122.371666666667
"613",205,"V1",2,48.11
"614",205,"V2",90,125.693333333333
"615",205,"V3",88,128.295
"616",206,"V1",90,81.63
"617",206,"V2",111,153.751666666667
"618",206,"V3",112,147.878333333333
"619",207,"V1",81,146.435
"620",207,"V2",205,37.795
"621",207,"V3",65,141.748333333333
"622",208,"V1",67,76.145
"623",208,"V2",184,120.503333333333
"624",208,"V3",176,106.82
"625",209,"V1",90,102.498333333333
"626",209,"V2",112,129.245
"627",209,"V3",111,101.705
"628",210,"V1",84,100.5
"629",210,"V2",1,36.3616666666667
"630",210,"V3",85,108.466666666667
"631",211,"V1",84,107.196666666667
"632",211,"V2",85,60.3383333333333
"633",211,"V3",1,101.191666666667
"634",212,"V1",3,47.185
"635",212,"V2",69,158.508333333333
"636",212,"V3",136,165.99
"637",213,"V1",136,159.236666666667
"638",213,"V2",137,66.3316666666667
"639",213,"V3",3,157.906666666667
"640",214,"V1",69,140.773333333333
"641",214,"V2",3,48.4583333333333
"642",214,"V3",88,250.438333333333
"643",215,"V1",69,143.806666666667
"644",215,"V2",3,82.14
"645",215,"V3",148,255.555
"646",216,"V1",98,168.515
"647",216,"V2",99,39.4666666666667
"648",216,"V3",94,112.633333333333
"649",217,"V1",102,188.311666666667
"650",217,"V2",16,380.676666666667
"651",217,"V3",101,178.396666666667
"652",218,"V1",68,78.2766666666667
"653",218,"V2",17,91.8683333333333
"654",218,"V3",40,49.4616666666667
"655",219,"V1",23,39.9766666666667
"656",219,"V2",20,15.0416666666667
"657",219,"V3",26,82.6566666666667
"658",220,"V1",24,71.59
"659",220,"V2",25,84.235
"660",220,"V3",109,122.626666666667
"661",221,"V1",118,61.47
"662",221,"V2",27,55.3883333333333
"663",221,"V3",192,96.65
"664",222,"V1",119,144.641666666667
"665",222,"V2",117,115.476666666667
"666",222,"V3",22,62.17
"667",223,"V1",117,71.8883333333333
"668",223,"V2",187,136.058333333333
"669",223,"V3",186,113.985
"670",224,"V1",123,52.7366666666667
"671",224,"V2",33,35.425
"672",224,"V3",206,250.448333333333
"673",225,"V1",124,37.6033333333333
"674",225,"V2",126,120.823333333333
"675",225,"V3",125,58.2633333333333
"676",226,"V1",126,143.2
"677",226,"V2",125,142.891666666667
"678",226,"V3",46,143.245
"679",227,"V1",46,24.8
"680",227,"V2",126,154.488333333333
"681",227,"V3",124,156.435
"682",228,"V1",128,95.3466666666667
"683",228,"V2",46,192.595
"684",228,"V3",124,90.1866666666667
"685",229,"V1",126,104.496666666667
"686",229,"V2",125,93.4983333333333
"687",229,"V3",124,57.4166666666667
"688",230,"V1",46,58.0266666666667
"689",230,"V2",126,149.801666666667
"690",230,"V3",124,151.748333333333
"691",231,"V1",46,79.5616666666667
"692",231,"V2",128,201.995
"693",231,"V3",124,146.473333333333
"694",232,"V1",36,52.65
"695",232,"V2",37,96.2516666666667
"696",232,"V3",62,117.331666666667
"697",233,"V1",36,89.9833333333333
"698",233,"V2",128,146.018333333333
"699",233,"V3",38,90.76
"700",234,"V1",38,58.1166666666667
"701",234,"V2",128,108.303333333333
"702",234,"V3",132,113.21
"703",235,"V1",36,74.695
"704",235,"V2",37,107.501666666667
"705",235,"V3",62,85.305
"706",236,"V1",124,145.121666666667
"707",236,"V2",36,120.911666666667
"708",236,"V3",34,110.301666666667
"709",237,"V1",36,65.4116666666667
"710",237,"V2",37,104.806666666667
"711",237,"V3",38,93.4316666666667
"712",238,"V1",190,143.456666666667
"713",238,"V2",49,178.081666666667
"714",238,"V3",165,97.1433333333333
"715",239,"V1",32,84.9116666666667
"716",239,"V2",121,135.056666666667
"717",239,"V3",125,184.108333333333
"718",240,"V1",32,75.27
"719",240,"V2",121,93.2766666666667
"720",240,"V3",147,181.313333333333
"721",241,"V1",32,68.1483333333333
"722",241,"V2",49,153.931666666667
"723",241,"V3",45,130.061666666667
"724",242,"V1",32,62.0833333333333
"725",242,"V2",121,118.863333333333
"726",242,"V3",125,167.915
"727",243,"V1",125,56.55
"728",243,"V2",121,50.3833333333333
"729",243,"V3",127,138.77
"730",244,"V1",32,115.968333333333
"731",244,"V2",49,113.158333333333
"732",244,"V3",45,119.835
"733",245,"V1",121,72.74
"734",245,"V2",125,120.995
"735",245,"V3",147,161.846666666667
"736",246,"V1",190,135.79
"737",246,"V2",49,170.415
"738",246,"V3",165,103.106666666667
"739",247,"V1",45,113.661666666667
"740",247,"V2",165,155.656666666667
"741",247,"V3",49,148.416666666667
"742",248,"V1",131,214.163333333333
"743",248,"V2",64,56.8816666666667
"744",248,"V3",177,238.556666666667
"745",249,"V1",132,81.3783333333333
"746",249,"V2",38,83.785
"747",249,"V3",37,19.3166666666667
"748",250,"V1",38,89.9733333333333
"749",250,"V2",132,34.0583333333333
"750",250,"V3",37,74.3733333333333
"751",251,"V1",38,29.05
"752",251,"V2",132,124.526666666667
"753",251,"V3",128,88.1666666666667
"754",252,"V1",38,89.3383333333333
"755",252,"V2",132,24.3783333333333
"756",252,"V3",37,69.0716666666667
"757",253,"V1",135,107.215
"758",253,"V2",133,97.1266666666667
"759",253,"V3",134,48.295
"760",254,"V1",135,83.9983333333333
"761",254,"V2",133,117.268333333333
"762",254,"V3",134,74.9066666666667
"763",255,"V1",43,68.8066666666667
"764",255,"V2",144,105.98
"765",255,"V3",145,87.7833333333333
"766",256,"V1",145,123.24
"767",256,"V2",144,122.196666666667
"768",256,"V3",43,30.29
"769",257,"V1",42,41.93
"770",257,"V2",141,62.5716666666667
"771",257,"V3",143,94.2833333333333
"772",258,"V1",145,90.2533333333333
"773",258,"V2",144,96.875
"774",258,"V3",43,61.155
"775",259,"V1",190,191.856666666667
"776",259,"V2",44,172.748333333333
"777",259,"V3",147,85.915
"778",260,"V1",163,290.826666666667
"779",260,"V2",162,159.46
"780",260,"V3",146,99.095
"781",261,"V1",190,146.98
"782",261,"V2",44,188.568333333333
"783",261,"V3",162,155.405
"784",262,"V1",44,110.906666666667
"785",262,"V2",190,188.743333333333
"786",262,"V3",147,167.425
"787",263,"V1",44,91.8966666666667
"788",263,"V2",147,179.898333333333
"789",263,"V3",146,168.955
"790",264,"V1",44,122.08
"791",264,"V2",162,210.805
"792",264,"V3",146,146.558333333333
"793",265,"V1",150,177.981666666667
"794",265,"V2",89,175.936666666667
"795",265,"V3",149,64.9983333333333
"796",266,"V1",69,158.541666666667
"797",266,"V2",88,102.32
"798",266,"V3",2,116.158333333333
"799",267,"V1",45,90.7783333333333
"800",267,"V2",148,222.318333333333
"801",267,"V3",91,119.601666666667
"802",268,"V1",148,113.345
"803",268,"V2",91,78.03
